ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-02-06,196.98671957529672,180.94375691994216,226.17329150055224,196.98671957529672,196.98671957529672,6.013684567138315,6.013684567138315,6.013684567138315,6.013684567138315,6.013684567138315,6.013684567138315,0.0,0.0,0.0,203.00040414243503
2024-02-07,196.4443647705073,179.78866222904114,224.28590608539463,196.4443647705073,196.4443647705073,5.485970907466632,5.485970907466632,5.485970907466632,5.485970907466632,5.485970907466632,5.485970907466632,0.0,0.0,0.0,201.93033567797391
2024-02-08,195.90200996571787,178.5664720667469,221.45377145811477,195.90200996571787,195.90200996571787,4.121344662296825,4.121344662296825,4.121344662296825,4.121344662296825,4.121344662296825,4.121344662296825,0.0,0.0,0.0,200.0233546280147
2024-02-09,195.3596551609284,177.05534691772525,220.64745461307993,195.3596551609284,195.3596551609284,4.392535462103828,4.392535462103828,4.392535462103828,4.392535462103828,4.392535462103828,4.392535462103828,0.0,0.0,0.0,199.75219062303225
2024-02-12,193.7325911235869,175.0218320584893,220.98093510156778,193.7325911235869,193.7325911235869,3.9335692117869248,3.9335692117869248,3.9335692117869248,3.9335692117869248,3.9335692117869248,3.9335692117869248,0.0,0.0,0.0,197.66616033537383
2024-02-13,193.19023644447304,175.61215151324464,220.10790802748812,193.19023644447304,193.19023644447304,6.013684567134034,6.013684567134034,6.013684567134034,6.013684567134034,6.013684567134034,6.013684567134034,0.0,0.0,0.0,199.20392101160706
2024-02-14,192.64788176535922,176.1093233787323,219.59937965672597,192.64788176535922,192.64788176535922,5.485970907463773,5.485970907463773,5.485970907463773,5.485970907463773,5.485970907463773,5.485970907463773,0.0,0.0,0.0,198.133852672823
2024-02-15,192.10552708624536,172.43576678925228,217.58403448515975,192.10552708624536,192.10552708624536,4.1213446623001975,4.1213446623001975,4.1213446623001975,4.1213446623001975,4.1213446623001975,4.1213446623001975,0.0,0.0,0.0,196.22687174854556
2024-02-16,191.56317240713153,173.05650579139453,219.68529055047304,191.56317240713153,191.56317240713153,4.392535462103068,4.392535462103068,4.392535462103068,4.392535462103068,4.392535462103068,4.392535462103068,0.0,0.0,0.0,195.9557078692346
2024-02-20,189.3937536906762,172.67721706591004,217.33271881683774,189.3937536906762,189.3937536906762,6.013684567142776,6.013684567142776,6.013684567142776,6.013684567142776,6.013684567142776,6.013684567142776,0.0,0.0,0.0,195.40743825781897
2024-02-21,188.85139901156234,170.40588726322693,216.66157445592881,188.85139901156234,188.85139901156234,5.485970907460912,5.485970907460912,5.485970907460912,5.485970907460912,5.485970907460912,5.485970907460912,0.0,0.0,0.0,194.33736991902325
2024-02-22,188.30904433244854,169.99297065999204,214.685793294828,188.30904433244854,188.30904433244854,4.121344662299578,4.121344662299578,4.121344662299578,4.121344662299578,4.121344662299578,4.121344662299578,0.0,0.0,0.0,192.4303889947481
2024-02-23,187.76668974129342,170.1002272193443,212.59675336085078,187.76668974129342,187.76668974129342,4.392535462083023,4.392535462083023,4.392535462083023,4.392535462083023,4.392535462083023,4.392535462083023,0.0,0.0,0.0,192.15922520337645
2024-02-26,186.13962596782818,168.14704354792445,212.98872043370412,186.13962596782818,186.13962596782818,3.9335692117993735,3.9335692117993735,3.9335692117993735,3.9335692117993735,3.9335692117993735,3.9335692117993735,0.0,0.0,0.0,190.07319517962756
2024-02-27,185.5972713766731,168.02409418620016,214.82710711281598,185.5972713766731,185.5972713766731,6.013684567146908,6.013684567146908,6.013684567146908,6.013684567146908,6.013684567146908,6.013684567146908,0.0,0.0,0.0,191.61095594382
2024-02-28,185.05491678551803,169.68657194419868,212.6622128442457,185.05491678551803,185.05491678551803,5.4859709074682765,5.4859709074682765,5.4859709074682765,5.4859709074682765,5.4859709074682765,5.4859709074682765,0.0,0.0,0.0,190.5408876929863
2024-02-29,184.51256219436289,165.93860106776725,211.06578350722754,184.51256219436289,184.51256219436289,4.121344662302952,4.121344662302952,4.121344662302952,4.121344662302952,4.121344662302952,4.121344662302952,0.0,0.0,0.0,188.63390685666585
2024-03-01,183.97020760320783,167.17474342519634,209.66738016206355,183.97020760320783,183.97020760320783,4.3925354620822645,4.3925354620822645,4.3925354620822645,4.3925354620822645,4.3925354620822645,4.3925354620822645,0.0,0.0,0.0,188.3627430652901
2024-03-04,182.3431438297426,162.6031780145147,207.78124624226024,182.3431438297426,182.3431438297426,3.9335692117992482,3.9335692117992482,3.9335692117992482,3.9335692117992482,3.9335692117992482,3.9335692117992482,0.0,0.0,0.0,186.27671304154183
2024-03-05,181.80078923858747,165.07846987009157,210.86780117883276,181.80078923858747,181.80078923858747,6.013684567134217,6.013684567134217,6.013684567134217,6.013684567134217,6.013684567134217,6.013684567134217,0.0,0.0,0.0,187.8144738057217
2024-03-06,181.2627159336932,163.84119536166773,207.2947840052192,181.2627159336932,181.2627159336932,5.485970907470321,5.485970907470321,5.485970907470321,5.485970907470321,5.485970907470321,5.485970907470321,0.0,0.0,0.0,186.7486868411635
2024-03-07,180.72464262879893,163.4926985447221,207.92126200093054,180.72464262879893,180.72464262879893,4.121344662292754,4.121344662292754,4.121344662292754,4.121344662292754,4.121344662292754,4.121344662292754,0.0,0.0,0.0,184.8459872910917
2024-03-08,180.18656932390468,161.0202125153627,207.56948490720634,180.18656932390468,180.18656932390468,4.392535462071862,4.392535462071862,4.392535462071862,4.392535462071862,4.392535462071862,4.392535462071862,0.0,0.0,0.0,184.57910478597654
2024-03-11,178.5723494092219,160.03166524190016,205.58054530246815,178.5723494092219,178.5723494092219,3.933569211811823,3.933569211811823,3.933569211811823,3.933569211811823,3.933569211811823,3.933569211811823,0.0,0.0,0.0,182.50591862103374
2024-03-12,178.03427610432763,161.0162734441394,207.1122176022923,178.03427610432763,178.03427610432763,6.013684567138351,6.013684567138351,6.013684567138351,6.013684567138351,6.013684567138351,6.013684567138351,0.0,0.0,0.0,184.04796067146597
2024-03-13,177.49620279943338,160.1469119785142,205.53435480209765,177.49620279943338,177.49620279943338,5.485970907467462,5.485970907467462,5.485970907467462,5.485970907467462,5.485970907467462,5.485970907467462,0.0,0.0,0.0,182.98217370690085
